,Date,Value,
1,12/31/2019,61.14,
2,11/30/2019,58.12,-0.049394832
3,10/31/2019,54.02,-0.070543703
4,9/30/2019,54.09,0.001295816
5,8/31/2019,55.07,0.018117952
6,7/31/2019,58.53,0.062829127
7,6/30/2019,58.2,-0.005638134
8,5/31/2019,53.49,-0.080927835
9,4/30/2019,63.83,0.19330716
10,3/31/2019,60.19,-0.057026477
11,2/28/2019,57.21,-0.049509885
12,1/31/2019,53.84,-0.058905786
13,12/31/2018,45.15,-0.16140416
14,11/30/2018,50.78,0.12469546
15,10/31/2018,65.31,0.286136274
16,9/30/2018,73.16,0.120195988
17,8/31/2018,69.84,-0.045379989
18,7/31/2018,69.88,0.000572738
19,6/30/2018,74.13,0.060818546
20,5/31/2018,66.98,-0.096452179
21,4/30/2018,68.56,0.023589131
22,3/31/2018,64.87,-0.05382147
23,2/28/2018,61.43,-0.053029135
24,1/31/2018,64.82,0.055184763
25,12/31/2017,60.46,-0.06726319
26,11/30/2017,57.4,-0.050611975
27,10/31/2017,54.36,-0.052961672
28,9/30/2017,51.67,-0.049484915
29,8/31/2017,47.26,-0.085349332
30,7/31/2017,50.21,0.062420652
31,6/30/2017,46.02,-0.083449512
32,5/31/2017,48.29,0.04932638
33,4/30/2017,49.31,0.021122386
34,3/31/2017,50.54,0.02494423
35,2/28/2017,54,0.068460625
36,1/31/2017,52.75,-0.023148148
37,12/31/2016,53.75,0.018957346
38,11/30/2016,49.41,-0.080744186
39,10/31/2016,46.83,-0.052216151
40,9/30/2016,47.72,0.019004911
41,8/31/2016,44.68,-0.063704946
42,7/31/2016,41.54,-0.070277529
43,6/30/2016,48.27,0.162012518
44,5/31/2016,49.1,0.017194945
45,4/30/2016,45.98,-0.063543788
46,3/31/2016,36.94,-0.196607221
47,2/29/2016,32.74,-0.113697888
48,1/31/2016,33.66,0.028100183
49,12/31/2015,37.13,0.103089721
50,11/30/2015,40.43,0.088876919
51,10/31/2015,46.6,0.152609448
52,9/30/2015,45.06,-0.03304721
53,8/31/2015,49.2,0.091877497
54,7/31/2015,47.11,-0.042479675
55,6/30/2015,59.48,0.262576948
56,5/31/2015,60.25,0.012945528
57,4/30/2015,59.62,-0.010456432
58,3/31/2015,47.72,-0.199597451
59,2/28/2015,49.84,0.044425817
60,1/31/2015,47.79,-0.041131621
61,12/31/2014,53.45,0.118434819
62,11/30/2014,65.94,0.233676333
63,10/31/2014,80.53,0.221261753
64,9/30/2014,91.17,0.132124674
65,8/31/2014,97.86,0.073379401
66,7/31/2014,98.23,0.003780912
67,6/30/2014,106.07,0.079812685
68,5/31/2014,103.4,-0.025172056
69,4/30/2014,100.07,-0.032205029
70,3/31/2014,101.57,0.014989507
71,2/28/2014,102.88,0.012897509
72,1/31/2014,97.55,-0.051807932
73,12/31/2013,98.17,0.006355715
74,11/30/2013,92.55,-0.057247632
75,10/31/2013,96.29,0.040410589
76,9/30/2013,102.36,0.063038737
77,8/31/2013,107.98,0.054904259
78,7/31/2013,105.1,-0.026671606
79,6/30/2013,96.36,-0.083158896
80,5/31/2013,91.93,-0.045973433
81,4/30/2013,93.22,0.014032416
82,3/31/2013,97.24,0.043123793
83,2/28/2013,92.03,-0.053578774
84,1/31/2013,97.65,0.061067043
85,12/31/2012,91.83,-0.059600614
86,11/30/2012,88.54,-0.035827072
87,10/31/2012,86.23,-0.026089903
88,9/30/2012,92.18,0.069001508
89,8/31/2012,96.47,0.046539379
90,7/31/2012,88.08,-0.086970043
91,6/30/2012,85.04,-0.034514078
92,5/31/2012,86.52,0.017403575
93,4/30/2012,104.89,0.212320851
94,3/31/2012,103.03,-0.017732863
95,2/29/2012,107.08,0.039308939
96,1/31/2012,98.46,-0.08050056
97,12/31/2011,98.83,0.003757871
98,11/30/2011,100.36,0.015481129
99,10/31/2011,93.19,-0.071442806
100,9/30/2011,78.93,-0.15302071
101,8/31/2011,88.81,0.125174205
102,7/31/2011,95.68,0.077356154
103,6/30/2011,95.3,-0.003971572
104,5/31/2011,102.7,0.077649528
105,4/30/2011,113.39,0.104089581
106,3/31/2011,106.19,-0.063497663
107,2/28/2011,97.1,-0.085601281
108,1/31/2011,90.99,-0.06292482
109,12/31/2010,91.38,0.004286185
110,11/30/2010,84.12,-0.079448457
111,10/31/2010,81.45,-0.031740371
112,9/30/2010,79.95,-0.018416206
113,8/31/2010,71.93,-0.100312695
114,7/31/2010,78.85,0.096204643
115,6/30/2010,75.59,-0.041344325
116,5/31/2010,74,-0.021034528
117,4/30/2010,86.07,0.163108108
118,3/31/2010,83.45,-0.030440339
119,2/28/2010,79.72,-0.044697424
120,1/31/2010,72.85,-0.086176618
121,12/31/2009,79.39,0.089773507
122,11/30/2009,77.19,-0.027711299
123,10/31/2009,77.04,-0.001943257
124,9/30/2009,70.46,-0.085410177
125,8/31/2009,69.97,-0.0069543
126,7/31/2009,69.26,-0.010147206
127,6/30/2009,69.82,0.008085475
128,5/31/2009,66.31,-0.050272128
129,4/30/2009,50.35,-0.240687679
130,3/31/2009,49.64,-0.014101291
131,2/28/2009,44.15,-0.110596293
132,1/31/2009,41.73,-0.054813137
133,12/31/2008,44.6,0.068775461
134,11/30/2008,55.21,0.237892377
135,10/31/2008,68.1,0.233472197
136,9/30/2008,100.7,0.478707783
137,8/31/2008,115.55,0.147467726
138,7/31/2008,124.17,0.07459974
139,6/30/2008,139.96,0.127164371
140,5/31/2008,127.35,-0.090097171
141,4/30/2008,113.7,-0.107184923
142,3/31/2008,101.54,-0.106948109
143,2/29/2008,101.78,0.002363601
144,1/31/2008,91.67,-0.099331892
145,12/31/2007,95.95,0.046689211
146,11/30/2007,88.6,-0.076602397
147,10/31/2007,94.16,0.06275395
148,9/30/2007,81.64,-0.132965166
149,8/31/2007,73.98,-0.093826556
150,7/31/2007,78.2,0.057042444
151,6/30/2007,70.47,-0.098849105
152,5/31/2007,64.02,-0.09152831
153,4/30/2007,65.78,0.027491409
154,3/31/2007,65.94,0.00243235
155,2/28/2007,61.78,-0.063087655
156,1/31/2007,58.17,-0.05843315
157,12/31/2006,60.85,0.046071858
158,11/30/2006,62.97,0.03483977
159,10/31/2006,58.72,-0.067492457
160,9/30/2006,62.9,0.071185286
161,8/31/2006,70.38,0.118918919
162,7/31/2006,74.56,0.059391873
163,6/30/2006,73.94,-0.008315451
164,5/31/2006,71.42,-0.034081688
165,4/30/2006,71.8,0.005320638
166,3/31/2006,66.25,-0.07729805
167,2/28/2006,61.37,-0.073660377
168,1/31/2006,67.86,0.105751996
169,12/31/2005,61.06,-0.100206307
170,11/30/2005,57.33,-0.061087455
171,10/31/2005,59.8,0.0430839
172,9/30/2005,66.21,0.107190635
173,8/31/2005,68.63,0.03655037
174,7/31/2005,60.71,-0.115401428
175,6/30/2005,56.63,-0.067204744
176,5/31/2005,52.08,-0.080346106
177,4/30/2005,49.2,-0.055299539
178,3/31/2005,55.31,0.124186992
179,2/28/2005,51.75,-0.064364491
180,1/31/2005,48.25,-0.06763285
181,12/31/2004,43.36,-0.10134715
182,11/30/2004,49.16,0.133763838
183,10/31/2004,51.78,0.053295362
184,9/30/2004,49.56,-0.042873696
185,8/31/2004,42.23,-0.147901533
186,7/31/2004,43.72,0.035282974
187,6/30/2004,36.92,-0.155535224
188,5/31/2004,39.9,0.08071506
189,4/30/2004,37.31,-0.064912281
190,3/31/2004,35.75,-0.041811847
191,2/29/2004,36.08,0.009230769
192,1/31/2004,33.16,-0.080931264
